
sep=;
Interno;Fecha;Comunicación;Diferencia;Velocidad;Evento;Tipo;Responsable;Chofer;Odómetro;"Estado GPS";"Estado GPRS";"Señal GSM";Edad;Satélites;Rumbo;Ubicación;Coordenadas;Mapa;Referencia;Bateria;"Bateria Backup"
PJC824;"2026-04-20 00:40:19";"2026-04-20 00:40:34";00:00:15;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Activo;Activo;20;0000;13;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1249;413
PJC824;"2026-04-20 00:50:19";"2026-04-20 00:50:49";00:00:30;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Activo;Activo;23;0000;14;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1249;413
PJC824;"2026-04-20 01:00:19";"2026-04-20 01:00:19";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Activo;Activo;21;0000;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1249;414
PJC824;"2026-04-20 01:10:18";"2026-04-20 01:11:04";00:00:46;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;21;0598;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1250;413
PJC824;"2026-04-20 01:20:18";"2026-04-20 01:20:18";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;22;1198;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1250;413
PJC824;"2026-04-20 01:30:18";"2026-04-20 01:30:18";00:00:00;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;19;1798;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1251;414
PJC824;"2026-04-20 01:40:17";"2026-04-20 01:40:33";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;19;2398;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1250;414
PJC824;"2026-04-20 01:50:17";"2026-04-20 01:50:33";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;20;2998;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1250;413
PJC824;"2026-04-20 02:00:17";"2026-04-20 02:00:33";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;20;3598;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1249;413
PJC824;"2026-04-20 02:10:17";"2026-04-20 02:10:33";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;21;4198;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1250;414
PJC824;"2026-04-20 02:20:17";"2026-04-20 02:20:33";00:00:16;0;Detenido;Posición;"Sin responsable";"NO LOG";20091082;Inactivo;Activo;23;4798;16;N;https://nominatim.openstreetmap.org/search.php?q=-34.6396+-58.86666;"-34.6396 -58.86666";https://google.com/maps/?q=-34.6396,-58.86666;"[Sin referencia]";1249;414
